"fifa17_2655","fut17_2405","1.0"
"fifa17_8308","fut17_8951","1.0"
"fifa17_15637","fut17_13252","1.0"
"fifa17_7073","fut17_6002","1.0"
"fifa17_2560","fut17_2189","1.0"
"fifa17_5511","fut17_1100","1.0"
"fifa17_14246","fut17_11502","1.0"
"fifa17_15223","fut17_12594","1.0"
"fifa17_6552","fut17_10219","1.0"
"fifa17_13438","fut17_9391","1.0"
"fifa17_7154","fut17_6694","1.0"
"fifa17_5933","fut17_4943","1.0"
"fifa17_14240","fut17_11504","1.0"
"fifa17_17516","fut17_14316","1.0"
"fifa17_11071","fut17_8006","1.0"
"fifa17_10761","fut17_9584","1.0"
"fifa17_11749","fut17_10193","1.0"
"fifa17_13608","fut17_5324","1.0"
"fifa17_789","fut17_764","1.0"
"fifa17_8307","fut17_8950","1.0"
"fifa17_1665","fut17_13657","0.84375"
"fifa17_17447","fut17_14270","1.0"
"fifa17_1538","fut17_1099","1.0"
"fifa17_9678","fut17_9234","1.0"
"fifa17_12957","fut17_14173","1.0"
"fifa17_9069","fut17_10992","0.84375"
"fifa17_7736","fut17_5025","1.0"
"fifa17_12400","fut17_9518","1.0"
"fifa17_15905","fut17_12677","1.0"
"fifa17_9143","fut17_10876","1.0"
"fifa17_1724","fut17_1503","1.0"
"fifa17_2311","fut17_3011","0.84375"
"fifa17_9340","fut17_4226","1.0"
"fifa17_9142","fut17_10875","1.0"
"fifa17_710","fut17_1189","1.0"
"fifa17_15264","fut17_2062","0.84375"
"fifa17_9962","fut17_10123","1.0"
"fifa17_16802","fut17_14003","1.0"
"fifa17_2744","fut17_6558","1.0"
"fifa17_16504","fut17_13939","1.0"
"fifa17_15202","fut17_13120","1.0"
"fifa17_16451","fut17_12997","1.0"
"fifa17_8077","fut17_5710","1.0"
"fifa17_798","fut17_775","1.0"
"fifa17_2347","fut17_2230","1.0"
"fifa17_16942","fut17_12430","1.0"
"fifa17_13582","fut17_12721","1.0"
"fifa17_10097","fut17_6603","1.0"
"fifa17_16581","fut17_12425","1.0"
"fifa17_6306","fut17_6524","1.0"
"fifa17_12264","fut17_9654","1.0"
"fifa17_15409","fut17_11881","1.0"
"fifa17_15835","fut17_11959","1.0"
"fifa17_6492","fut17_11142","0.84375"
"fifa17_8801","fut17_7325","1.0"
"fifa17_5212","fut17_3340","1.0"
"fifa17_17229","fut17_13596","1.0"
"fifa17_979","fut17_1845","1.0"
"fifa17_14436","fut17_10497","1.0"
"fifa17_5222","fut17_3354","1.0"
"fifa17_15582","fut17_13197","1.0"
"fifa17_13396","fut17_9795","1.0"
"fifa17_5731","fut17_4597","1.0"
"fifa17_10817","fut17_9763","0.84375"
"fifa17_5655","fut17_3798","1.0"
"fifa17_13741","fut17_12186","1.0"
"fifa17_15327","fut17_7887","1.0"
"fifa17_2663","fut17_3712","1.0"
"fifa17_8606","fut17_5927","1.0"
"fifa17_15833","fut17_11957","1.0"
"fifa17_7793","fut17_6651","1.0"
"fifa17_5736","fut17_4590","1.0"
"fifa17_14077","fut17_12331","1.0"
"fifa17_13291","fut17_10466","1.0"
"fifa17_2832","fut17_9923","1.0"
"fifa17_8800","fut17_7326","1.0"
"fifa17_7120","fut17_4418","1.0"
"fifa17_16321","fut17_5794","0.84375"
"fifa17_9222","fut17_7246","1.0"
"fifa17_3399","fut17_3250","1.0"
"fifa17_4289","fut17_2702","1.0"
"fifa17_5287","fut17_3996","1.0"
"fifa17_16606","fut17_13418","1.0"
"fifa17_3862","fut17_3903","1.0"
"fifa17_9234","fut17_7258","1.0"
"fifa17_6721","fut17_13288","0.84375"
"fifa17_3708","fut17_3978","0.84375"
"fifa17_16374","fut17_419","0.84375"
"fifa17_6683","fut17_11866","1.0"
"fifa17_17325","fut17_3877","1.0"
"fifa17_3636","fut17_410","1.0"
"fifa17_12716","fut17_9937","1.0"
"fifa17_1562","fut17_1003","1.0"
"fifa17_14431","fut17_10494","1.0"
"fifa17_6024","fut17_4169","1.0"
"fifa17_16605","fut17_13417","1.0"
"fifa17_9058","fut17_10566","1.0"
"fifa17_14434","fut17_10499","1.0"
"fifa17_4408","fut17_5040","1.0"
"fifa17_14430","fut17_10495","1.0"
"fifa17_1339","fut17_817","1.0"
"fifa17_3820","fut17_3190","1.0"
"fifa17_6960","fut17_6578","1.0"
"fifa17_11068","fut17_1519","1.0"
"fifa17_16352","fut17_13070","1.0"
"fifa17_2689","fut17_1931","1.0"
"fifa17_14921","fut17_13164","0.84375"
"fifa17_7261","fut17_5813","1.0"
"fifa17_5206","fut17_3908","0.84375"
"fifa17_2766","fut17_7876","0.84375"
"fifa17_15263","fut17_13103","1.0"
"fifa17_17144","fut17_14091","1.0"
"fifa17_1574","fut17_1017","1.0"
"fifa17_13080","fut17_6139","1.0"
"fifa17_2527","fut17_1943","1.0"
"fifa17_8450","fut17_2404","0.84375"
"fifa17_13078","fut17_11610","1.0"
"fifa17_8375","fut17_7719","1.0"
"fifa17_533","fut17_909","1.0"
"fifa17_16918","fut17_14064","1.0"
"fifa17_8547","fut17_9704","1.0"
"fifa17_834","fut17_5316","1.0"
"fifa17_1525","fut17_1087","1.0"
"fifa17_16491","fut17_13925","1.0"
"fifa17_2774","fut17_7750","0.84375"
"fifa17_11747","fut17_10192","1.0"
"fifa17_11713","fut17_9750","1.0"
"fifa17_11727","fut17_9772","1.0"
"fifa17_15520","fut17_9292","1.0"
"fifa17_11791","fut17_10343","1.0"
"fifa17_16620","fut17_14073","1.0"
"fifa17_4098","fut17_737","1.0"
"fifa17_12266","fut17_9651","1.0"
"fifa17_5656","fut17_13812","0.84375"
"fifa17_11737","fut17_10182","1.0"
"fifa17_2499","fut17_3157","1.0"
"fifa17_9140","fut17_10874","1.0"
"fifa17_15980","fut17_12619","1.0"
"fifa17_14691","fut17_14451","0.84375"
"fifa17_9745","fut17_10075","1.0"
"fifa17_206","fut17_319","1.0"
"fifa17_8450","fut17_11264","1.0"
"fifa17_16201","fut17_13180","1.0"
"fifa17_14267","fut17_3660","0.84375"
"fifa17_9332","fut17_4211","1.0"
"fifa17_16454","fut17_12993","1.0"
"fifa17_785","fut17_149","1.0"
"fifa17_12505","fut17_9442","1.0"
"fifa17_11920","fut17_7197","1.0"
"fifa17_6485","fut17_2753","1.0"
"fifa17_962","fut17_1358","1.0"
"fifa17_10906","fut17_2958","0.84375"
"fifa17_4019","fut17_3815","1.0"
"fifa17_6147","fut17_215","0.84375"
"fifa17_5117","fut17_5357","1.0"
"fifa17_13340","fut17_8249","1.0"
"fifa17_7730","fut17_5028","1.0"
"fifa17_15890","fut17_12661","1.0"
"fifa17_13093","fut17_9534","1.0"
"fifa17_14115","fut17_4588","0.84375"
"fifa17_17538","fut17_14428","1.0"
"fifa17_7144","fut17_6682","1.0"
"fifa17_3228","fut17_12751","0.84375"
"fifa17_5890","fut17_4100","1.0"
"fifa17_12860","fut17_9030","1.0"
"fifa17_14423","fut17_10485","1.0"
"fifa17_14489","fut17_10154","1.0"
"fifa17_1753","fut17_2705","1.0"
"fifa17_5736","fut17_4591","1.0"
"fifa17_13025","fut17_5288","0.853515625"
"fifa17_2295","fut17_3827","1.0"
"fifa17_16441","fut17_12988","1.0"
"fifa17_15322","fut17_12297","1.0"
"fifa17_7395","fut17_7105","0.84375"
"fifa17_14424","fut17_10486","1.0"
"fifa17_16321","fut17_5793","0.84375"
